Bife a fricandolle|bovina|grelhado/refogado|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife a fricandolli|bovina|grelhado/refogado|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife à milanesa|bovina|frito|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife à parmegiana|bovina|frito|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Misto
Bife à pizzaiolo|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Misto
Bife a rolê|bovina|cozido|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife à role|bovina|cozido|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife à rolê|bovina|cozido|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife à rolê com bacon|bovina|cozido|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife acebolado|bovina|grelhado/refogado|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife acebolado com molho de tomate|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife ao molho argentino|bovina|ao molho gorduroso|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife ao molho barbecue|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife ao molho de azeitonas|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife ao molho de bacon|bovina|ao molho gorduroso|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife ao molho de cebola|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife ao molho de ervilha|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Misto
Bife ao molho de maionese|bovina|ao molho gorduroso|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Misto
Bife ao molho de tomate picante|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Misto
Bife ao molho especial|bovina|ao molho gorduroso|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife ao molho fazendinha|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife ao molho ferrugem|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife ao molho madeira|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife ao molho pizzaiolo|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Misto
Bife ao molho roty|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com cebola e pimentão|bovina|grelhado/refogado|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Misto
Bife com molho acebolado|bovina|grelhado/refogado|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho argentino|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho barbecue|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho com molho ferrugem|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho de alho|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho de alho-poró|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho de azeitonas|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho de bacon|bovina|ao molho gorduroso|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho de champignon|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho de cogumelo|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho de cogumelos|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho de curry|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho de ervas|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho de pimentões|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Misto
Bife com molho de roti|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife com molho de salsão|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Misto
