Flan com calda de groselha|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Flan de baunilha|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Flan de baunilha com banana|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Flan de baunilha com calda de caramelo|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Flan de baunilha com calda de goiaba|doce|ultraprocessado|Misto|Pastoso||Sociobiodiversidade|Regional
Flan de chocolate|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Flan de coco|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Flan de morango|doce|ultraprocessado|Vermelho|Pastoso|||
Flan de morango com calda de frutas|doce|ultraprocessado|Vermelho|Pastoso|||
Frutas|fruta||Misto||||
Gelado bicolor|doce||Misto|Pastoso|||
Gelado de abacaxi|doce||Amarelo/Laranja|Pastoso|||
Gelado de maçã|doce||Marrom/Bege|Pastoso|Sulfuroso||
Gelatina|doce|ultraprocessado|Vermelho|Pastoso|||
Gelatina colorida|doce|ultraprocessado|Misto|Pastoso|||
Gelatina com creme|doce|ultraprocessado|Misto|Pastoso|||
Gelatina de abacaxi|doce|ultraprocessado|Amarelo/Laranja|Pastoso|||
Gelatina de cereja|doce|ultraprocessado|Vermelho|Pastoso|||
Gelatina de framboesa|doce|ultraprocessado|Vermelho|Pastoso|||
Gelatina de limão|doce|ultraprocessado|Verde|Pastoso|||
Gelatina de morango|doce|ultraprocessado|Vermelho|Pastoso|||
Gelatina de pêssego|doce|ultraprocessado|Amarelo/Laranja|Pastoso|||
Gelatina de uva|doce|ultraprocessado|Roxo/preto|Pastoso|||
Gelatina supresa|doce|ultraprocessado|Misto|Pastoso|||
Gelatina surpresa|doce|ultraprocessado|Misto|Pastoso|||
Gelatina unicórnio|doce|ultraprocessado|Misto|Pastoso|||
Goiaba|fruta||Vermelho||Sulfuroso|Sociobiodiversidade|Regional
Goiaba com queijo|fruta||Misto||Sulfuroso|Sociobiodiversidade|Regional
Goiabada|doce|ultraprocessado|Vermelho|||Sociobiodiversidade|Regional
Goiabada com queijo|doce|ultraprocessado|Misto|||Sociobiodiversidade|Regional
Goiabada cremosa|doce|ultraprocessado|Vermelho|Pastoso||Sociobiodiversidade|Regional
Goiabinha|doce|ultraprocessado|Misto||||Regional
Iogurte|doce|ultraprocessado|Vermelho|Pastoso|||
Iogurte de morango|doce|ultraprocessado|Vermelho|Pastoso|||
Kiwi|fruta||Verde||||
Laranja|fruta||Amarelo/Laranja|||Sociobiodiversidade|Regional
Maça|fruta||Vermelho||Sulfuroso||
Maçã|fruta||Vermelho||Sulfuroso||
Maçã em calda|doce||Marrom/Bege||Sulfuroso||
Mamão|fruta||Amarelo/Laranja||||
Manjar|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Manjar c/ calda de ameixa|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Manjar c/ calda de frutas|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Manjar c/calda de ameixa|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Manjar coco com calda|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Manjar com ameixa|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Manjar com calda|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Manjar com calda ameixa|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Manjar com calda de ameixa|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Manjar com calda de frutas|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Manjar de coco|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Manjar de coco com calda|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Maria mole|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Maria mole com coco queimado|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Maria-mole|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Marigel|doce|ultraprocessado|Vermelho||||
Max chocolate|doce|ultraprocessado|Marrom/Bege||||
Max goiabinha|doce|ultraprocessado|Misto|||Sociobiodiversidade|Regional
Maxi chocolate|doce|ultraprocessado|Marrom/Bege||||
Maxi goiabinha|doce|ultraprocessado|Misto|||Sociobiodiversidade|Regional
Melancia|fruta||Vermelho||Sulfuroso||
Melão|fruta||Amarelo/Laranja||Sulfuroso||
Merigel|doce|ultraprocessado|Vermelho||||
Mexerica|fruta||Amarelo/Laranja||||
Mini bolo|doce||Marrom/Bege||||
Mini bolo individual|doce||Marrom/Bege||||
Moranguete|doce|ultraprocessado|Misto||||
Mousse|doce|ultraprocessado|Vermelho|Pastoso|||
Mousse de chocolate|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Mousse de chocolate ou maçã|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Mousse de coco|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Mousse de goiabada|doce|ultraprocessado|Vermelho|Pastoso||Sociobiodiversidade|Regional
Mousse de limão|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Mousse de maracujá|doce|ultraprocessado|Amarelo/Laranja|Pastoso||Sociobiodiversidade|
Mousse de maracujá com calda|doce|ultraprocessado|Amarelo/Laranja|Pastoso||Sociobiodiversidade|
Mousse de morango|doce|ultraprocessado|Vermelho|Pastoso|||
Mousse maracujá|doce|ultraprocessado|Amarelo/Laranja|Pastoso||Sociobiodiversidade|
Musse de chocolate|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Paçoca|doce||Marrom/Bege||Sulfuroso|Sociobiodiversidade|
Paçoquinha|doce||Marrom/Bege||Sulfuroso|Sociobiodiversidade|
Palha italiana|doce|ultraprocessado|Marrom/Bege||||
Palha italiana de churros|doce|ultraprocessado|Marrom/Bege||||
Panna cotta|doce|ultraprocessado|Branco/Cinza||||
Pão de mel|doce|ultraprocessado|Marrom/Bege||||
Pavê|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Pavê de chocolate|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Pavê de doce de leite|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Pé de moleque|doce|ultraprocessado|Marrom/Bege||Sulfuroso|Sociobiodiversidade|
Pé-de-moleque|doce|ultraprocessado|Marrom/Bege||Sulfuroso|Sociobiodiversidade|
Pêssego|fruta||Amarelo/Laranja||||
Picolé|doce|ultraprocessado|Vermelho||||
Pudim|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim bicolor com calda de frutas|doce|ultraprocessado|Misto|Pastoso|Sulfuroso||
Pudim chinês|doce|ultraprocessado|Misto|Pastoso|Sulfuroso||
Pudim com calda|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim com gelatina|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim com gelatina morango|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim com goiabada|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso|Sociobiodiversidade|Regional
Pudim de baunilha|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de baunilha com calda|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de baunilha com calda de ameixa|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
